"name","want"
"1","Air Force",1
"2","Akron",1
"3","Alabama",1
"4","App State",1
"5","Arizona",1
"6","Arizona State",1
"7","Arkansas",1
"8","Arkansas State",1
"9","Army",1
"10","Auburn",1
"11","Ball State",1
"12","Baylor",1
"13","Boise State",1
"14","Boston College",1
"15","Bowling Green",1
"16","Buffalo",1
"17","BYU",1
"18","California",1
"19","Central Michigan",1
"20","Charlotte",1
"21","Cincinnati",1
"22","Clemson",1
"23","Coastal Carolina",1
"24","Colorado",1
"25","Colorado State",1
"26","Duke",1
"27","East Carolina",1
"28","Eastern Michigan",1
"29","Florida",1
"30","Florida Atlantic",1
"31","Florida International",1
"32","Florida State",1
"33","Fresno State",1
"34","Georgia",1
"35","Georgia Southern",1
"36","Georgia State",1
"37","Georgia Tech",1
"38","Hawai'i",1
"39","Houston",1
"40","Illinois",1
"41","Indiana",1
"42","Iowa",1
"43","Iowa State",1
"44","Jacksonville State",1
"45","James Madison",1
"46","Kansas",1
"47","Kansas State",1
"48","Kennesaw State",1
"49","Kent State",1
"50","Kentucky",1
"51","Liberty",1
"52","Louisiana",1
"53","Louisiana Tech",1
"54","Louisville",1
"55","LSU",1
"56","Marshall",1
"57","Maryland",1
"58","Massachusetts",1
"59","Memphis",1
"60","Miami",1
"61","Miami (OH)",1
"62","Michigan",1
"63","Michigan State",1
"64","Middle Tennessee",1
"65","Minnesota",1
"66","Mississippi State",1
"67","Missouri",1
"68","Navy",1
"69","NC State",1
"70","Nebraska",1
"71","Nevada",1
"72","New Mexico",1
"73","New Mexico State",1
"74","North Carolina",1
"75","Northern Illinois",1
"76","North Texas",1
"77","Northwestern",1
"78","Notre Dame",1
"79","Ohio",1
"80","Ohio State",1
"81","Oklahoma",1
"82","Oklahoma State",1
"83","Old Dominion",1
"84","Ole Miss",1
"85","Oregon",1
"86","Oregon State",1
"87","Penn State",1
"88","Pittsburgh",1
"89","Purdue",1
"90","Rice",1
"91","Rutgers",1
"92","Sam Houston",1
"93","San Diego State",1
"94","San José State",1
"95","SMU",1
"96","South Alabama",1
"97","South Carolina",1
"98","Southern Miss",1
"99","South Florida",1
"100","Stanford",1
"101","Syracuse",1
"102","TCU",1
"103","Temple",1
"104","Tennessee",1
"105","Texas",1
"106","Texas A&M",1
"107","Texas State",1
"108","Texas Tech",1
"109","Toledo",1
"110","Troy",1
"111","Tulane",1
"112","Tulsa",1
"113","UAB",1
"114","UCF",1
"115","UCLA",1
"116","UConn",1
"117","UL Monroe",1
"118","UNLV",1
"119","USC",1
"120","Utah",1
"121","Utah State",1
"122","UTEP",1
"123","UTSA",1
"124","Vanderbilt",1
"125","Virginia",1
"126","Virginia Tech",1
"127","Wake Forest",1
"128","Washington",1
"129","Washington State",1
"130","Western Kentucky",1
"131","Western Michigan",1
"132","West Virginia",1
"133","Wisconsin",1
"134","Wyoming",1
